  a     b    E1min   energy   E2min   energy    E3min   energy    E4min   energy
3.956 3.934   C -39.81534360  B -39.81533059  D -39.81309274  A -39.81200867
3.956 3.936   C -39.81476610  B -39.81476126  D -39.81297799  A -39.81218620
3.956 3.938   C -39.81417635  B -39.81414915  D -39.81296430  A -39.81236668
3.956 3.940   C -39.81356336  B -39.81305311  D -39.81299256  A -39.81254346
3.956 3.942   B -39.81319067  D -39.81304541  C -39.81291022  A -39.81273132
3.956 3.944   D -39.81313649  A -39.81291904  C -39.81226681  B -39.81225324
3.956 3.946   D -39.81325109  A -39.81311257  B -39.81171977  C -39.81158208
3.956 3.948   D -39.81336600  A -39.81330165  C -39.81089314  B -39.80928818
3.956 3.950   D -39.81350647  A -39.81349322  C -39.81018448  B -39.80878792
3.956 3.952   A -39.81369898  D -39.81369409  C -39.80946782  B -39.80827980
3.956 3.954   A -39.81390524  D -39.81387780  C -39.80873341  B -39.80773233
3.956 3.956   A -39.81411943  D -39.81410043  B -39.80836129  C -39.80797389
3.958 3.932   C -39.81517143  B -39.81514386  D -39.81321554  A -39.81231658
3.958 3.934   C -39.81461580  B -39.81421657  D -39.81313088  A -39.81247912
3.958 3.936   C -39.81403309  B -39.81398448  D -39.81312106  A -39.81262841
3.958 3.938   C -39.81343724  D -39.81315069  B -39.81298389  A -39.81279215
3.958 3.940   D -39.81319715  A -39.81294426  C -39.81279504  B -39.81276956
3.958 3.942   D -39.81327314  A -39.81310297  C -39.81216042  B -39.81066690
3.958 3.944   D -39.81336829  A -39.81327192  C -39.81151563  B -39.81023278
3.958 3.946   D -39.81348609  A -39.81344484  C -39.81082330  B -39.80977498
3.958 3.948   D -39.81361249  A -39.81360945  C -39.81013121  B -39.80927576
3.958 3.950   A -39.81378964  D -39.81377331  C -39.80942621  B -39.80874750
3.958 3.952   A -39.81397253  D -39.81393894  C -39.80870391  B -39.80819671
3.958 3.954   A -39.81415263  D -39.81412058  C -39.80796453  B -39.80759887
3.958 3.956   A -39.81433223  D -39.81430541  C -39.80719394  B -39.80697202
