DFT DP
-3.178140563964843750e+02 -3.178296951508020243e+02
-3.177816467285156250e+02 -3.178053750655597582e+02
-3.177630920410156250e+02 -3.177841529573915409e+02
-3.153594055175781250e+02 -3.153749791530800621e+02
-3.179918823242187500e+02 -3.180132899816539407e+02
-3.158933715820312500e+02 -3.159253319872694874e+02
-3.179839782714843750e+02 -3.180067592004296557e+02
-3.177828674316406250e+02 -3.177625878819407035e+02
-3.171431884765625000e+02 -3.171667828698362541e+02
-3.179844665527343750e+02 -3.180067038723108226e+02
-3.177200317382812500e+02 -3.177026621672999909e+02
-3.165496215820312500e+02 -3.165513714898802391e+02
-3.169140319824218750e+02 -3.169222829021597931e+02
-3.167482910156250000e+02 -3.167494534597173583e+02
-3.167075500488281250e+02 -3.167127404574034131e+02
-3.177594604492187500e+02 -3.177782819917883899e+02
-3.177806701660156250e+02 -3.178044145232515802e+02
-3.179491271972656250e+02 -3.179675237853396084e+02
-3.169204101562500000e+02 -3.169000155909293994e+02
-3.179041442871093750e+02 -3.179247794753925973e+02
-3.168356933593750000e+02 -3.168167360894917124e+02
-3.178419494628906250e+02 -3.178600651643233732e+02
-3.162576904296875000e+02 -3.162801956115188204e+02
-3.179669799804687500e+02 -3.179930586743171830e+02
-3.179020996093750000e+02 -3.179269223534233788e+02
-3.172682189941406250e+02 -3.172745455154384899e+02
-3.178709411621093750e+02 -3.178950569972393509e+02
-3.171702270507812500e+02 -3.171674228361805490e+02
-3.159773254394531250e+02 -3.160129265189062835e+02
-3.169784545898437500e+02 -3.169729120202691206e+02
-3.172578430175781250e+02 -3.172795391846266284e+02
-3.162259216308593750e+02 -3.162403869104607566e+02
-3.179624938964843750e+02 -3.180008856849894983e+02
-3.169494628906250000e+02 -3.169557164276565118e+02
-3.176881713867187500e+02 -3.177162305384488832e+02
-3.177951049804687500e+02 -3.177974418294537600e+02
-3.178184204101562500e+02 -3.178503027307302773e+02
-3.169417114257812500e+02 -3.169576473894566107e+02
-3.171638488769531250e+02 -3.171758306240657248e+02
-3.172439270019531250e+02 -3.172694566526639619e+02
-3.169993286132812500e+02 -3.170044477694466991e+02
-3.177269287109375000e+02 -3.177495461306871789e+02
-3.169842834472656250e+02 -3.170145953101232408e+02
-3.178110961914062500e+02 -3.178262484300911979e+02
-3.166515502929687500e+02 -3.166739086565885941e+02
-3.170708312988281250e+02 -3.171027808241129833e+02
-3.179024047851562500e+02 -3.179352490968987013e+02
-3.169854431152343750e+02 -3.170127550198545805e+02
-3.179039001464843750e+02 -3.179226489723955069e+02
-3.180609741210937500e+02 -3.180838127163032141e+02
-3.148875427246093750e+02 -3.149227051569578180e+02
-3.179933776855468750e+02 -3.180144123938650864e+02
-3.179874572753906250e+02 -3.180038774962055186e+02
-3.179679260253906250e+02 -3.179906619472964167e+02
-3.178114929199218750e+02 -3.178333235724166457e+02
-3.176446533203125000e+02 -3.176624098888311778e+02
-3.164531860351562500e+02 -3.164285015472324858e+02
-3.177678527832031250e+02 -3.177844090761261668e+02
-3.165602416992187500e+02 -3.165597455559183686e+02
-3.170357055664062500e+02 -3.170347978227646308e+02
-3.170130310058593750e+02 -3.170160463275781240e+02
-3.167006225585937500e+02 -3.166791457805109076e+02
-3.176697692871093750e+02 -3.176553583857236731e+02
-3.151561889648437500e+02 -3.151436112809028600e+02
-3.168461914062500000e+02 -3.168335904350316241e+02
-3.178362731933593750e+02 -3.178453012189891069e+02
-3.118916931152343750e+02 -3.119143583918631748e+02
-3.135985412597656250e+02 -3.136378749768153966e+02
-3.133312683105468750e+02 -3.133412527961394289e+02
-3.129825439453125000e+02 -3.130010483402506907e+02
-3.144853210449218750e+02 -3.145150262144009048e+02
-3.133915710449218750e+02 -3.133692318799621148e+02
-3.156523437500000000e+02 -3.156505426198845043e+02
-3.139519042968750000e+02 -3.139873984616726261e+02
-3.149672241210937500e+02 -3.149746348292064795e+02
-3.131806335449218750e+02 -3.131840033652969169e+02
-3.129879150390625000e+02 -3.129540355429164151e+02
-3.132966918945312500e+02 -3.132860792808729116e+02
-3.141218872070312500e+02 -3.141349556578012994e+02
-3.129420471191406250e+02 -3.129622657598886235e+02
-3.148368225097656250e+02 -3.148369012690357067e+02
-3.137814025878906250e+02 -3.138297003608827254e+02
-3.139118041992187500e+02 -3.139392094790607644e+02
-3.124565429687500000e+02 -3.124232553468905849e+02
-3.154240112304687500e+02 -3.153965418776234628e+02
-3.132261962890625000e+02 -3.132580979286054799e+02
-3.137993164062500000e+02 -3.137948832253748606e+02
-3.157005920410156250e+02 -3.157113763776396809e+02
-3.134823913574218750e+02 -3.134821441589280084e+02
-3.132250671386718750e+02 -3.131815914809199057e+02
-3.147114562988281250e+02 -3.147329704668496788e+02
-3.131393737792968750e+02 -3.131252833818451791e+02
-3.130598754882812500e+02 -3.130759760646290033e+02
-3.140773925781250000e+02 -3.140519756357421102e+02
-3.148613281250000000e+02 -3.148333264687147448e+02
-3.133952941894531250e+02 -3.133435006534728018e+02
-3.146442871093750000e+02 -3.146662793435014009e+02
-3.145956115722656250e+02 -3.146425997814657762e+02
-3.142309265136718750e+02 -3.142513618695559785e+02
-3.146102600097656250e+02 -3.146269393317850245e+02
-3.131283874511718750e+02 -3.131018057461242279e+02
-3.128049011230468750e+02 -3.127891731823788177e+02
-3.138442077636718750e+02 -3.138906191660628338e+02
-3.135010375976562500e+02 -3.134766868737789309e+02
-3.131548767089843750e+02 -3.131340659124971353e+02
-3.150368652343750000e+02 -3.150340493307144243e+02
-3.131815795898437500e+02 -3.131560528757055408e+02
-3.123174438476562500e+02 -3.123095037266516556e+02
-3.139949035644531250e+02 -3.139843899243674059e+02
-3.137259216308593750e+02 -3.137487667051726703e+02
-3.149238586425781250e+02 -3.149552156869210648e+02
-3.127720336914062500e+02 -3.128211924168400628e+02
-3.137407836914062500e+02 -3.136599659127272730e+02
-3.151756286621093750e+02 -3.151591245440644116e+02
-3.124061889648437500e+02 -3.124011721152949121e+02
-3.123927612304687500e+02 -3.123887157023840473e+02
-3.124095153808593750e+02 -3.123940542458792038e+02
-3.133606262207031250e+02 -3.133876162049060667e+02
-3.132459716796875000e+02 -3.132243181871717184e+02
-3.126011962890625000e+02 -3.125805341707507523e+02
-3.144202880859375000e+02 -3.144510896152981445e+02
-3.154164428710937500e+02 -3.154351943395546414e+02
-3.152841796875000000e+02 -3.153098540267437784e+02
-3.130783081054687500e+02 -3.130152789708030241e+02
-3.141862792968750000e+02 -3.141461330829143890e+02
-3.144308166503906250e+02 -3.143700829702721649e+02
-3.144763488769531250e+02 -3.145043990832484724e+02
-3.139423828125000000e+02 -3.139407593931370570e+02
-3.132878417968750000e+02 -3.133102995329563214e+02
-3.143403320312500000e+02 -3.143425750384459434e+02
-3.128878479003906250e+02 -3.129127107844570901e+02
-3.128893432617187500e+02 -3.129016783195756943e+02
-3.137861633300781250e+02 -3.137492948333309073e+02
-3.148391723632812500e+02 -3.148716393500658342e+02
-3.141134338378906250e+02 -3.141471275369136720e+02
-3.137345886230468750e+02 -3.136978635145271710e+02
-3.151907348632812500e+02 -3.151772676924622942e+02
-3.141060485839843750e+02 -3.140862201503949223e+02
-3.143769226074218750e+02 -3.143259007876845317e+02
-3.137160949707031250e+02 -3.136894521484832694e+02
-3.124851074218750000e+02 -3.125148436965251904e+02
-3.142104187011718750e+02 -3.142294065940238283e+02
-3.145376892089843750e+02 -3.145210460693317032e+02
-3.143759155273437500e+02 -3.143939571177103858e+02
-3.156093444824218750e+02 -3.156031907545648778e+02
-3.144362487792968750e+02 -3.144143437067021978e+02
-3.154994506835937500e+02 -3.154792681691756684e+02
-3.139996948242187500e+02 -3.140168680170650077e+02
-3.123227233886718750e+02 -3.123205448403227820e+02
-3.130286560058593750e+02 -3.129976125824668998e+02
-3.128804321289062500e+02 -3.129334554898763372e+02
-3.138393249511718750e+02 -3.138603371076632698e+02
-3.157441101074218750e+02 -3.157493660688176078e+02
-3.127749023437500000e+02 -3.127595593425408538e+02
-3.124384460449218750e+02 -3.124252041799177277e+02
-3.132032165527343750e+02 -3.132066354102299215e+02
-3.140310363769531250e+02 -3.140368370082285310e+02
-3.147656860351562500e+02 -3.147822811206362985e+02
-3.141372375488281250e+02 -3.141414659360839323e+02
-3.129691467285156250e+02 -3.129547581450214011e+02
-3.142351379394531250e+02 -3.141984831524597439e+02
-3.138673400878906250e+02 -3.138899360604679032e+02
-3.137900695800781250e+02 -3.137499715040864885e+02
-3.132020263671875000e+02 -3.132935293430144270e+02
-3.153536682128906250e+02 -3.153674228266160640e+02
-3.150096435546875000e+02 -3.150103337666676566e+02
-3.149670104980468750e+02 -3.149579178439122984e+02
-3.131107482910156250e+02 -3.130875996712742335e+02
-3.142619628906250000e+02 -3.142799623549111629e+02
-3.137770690917968750e+02 -3.137365778573482658e+02
-3.151209106445312500e+02 -3.151146103713290927e+02
-3.155379638671875000e+02 -3.155502076610126778e+02
-3.145705261230468750e+02 -3.145818800261794195e+02
-3.141658020019531250e+02 -3.142489722220664135e+02
-3.139516601562500000e+02 -3.139931766948665768e+02
-3.143909301757812500e+02 -3.143433844690297860e+02
-3.152606506347656250e+02 -3.152710134523061924e+02
-3.127925720214843750e+02 -3.128332973464453630e+02
-3.145254821777343750e+02 -3.144877361703185557e+02
-3.139516296386718750e+02 -3.138640827633805657e+02
-3.130809631347656250e+02 -3.131547560254239215e+02
-3.128220520019531250e+02 -3.128555090329709856e+02
-3.132380371093750000e+02 -3.132210894397101697e+02
-3.132537841796875000e+02 -3.132235267729853376e+02
-3.136286926269531250e+02 -3.136156176186927951e+02
-3.129503479003906250e+02 -3.129921325228129945e+02
-3.134663391113281250e+02 -3.134802147789126252e+02
-3.135585327148437500e+02 -3.135802952455733248e+02
-3.157990417480468750e+02 -3.157972337943902517e+02
-3.139885864257812500e+02 -3.139775225769261624e+02
-3.138625793457031250e+02 -3.138845404985613072e+02
-3.126857299804687500e+02 -3.127522869512929447e+02
-3.121774597167968750e+02 -3.121655765614535767e+02
-3.138131408691406250e+02 -3.137706783913167783e+02
-3.121406860351562500e+02 -3.121332754402882301e+02
-3.143482360839843750e+02 -3.143839503167711200e+02
-3.131296081542968750e+02 -3.131583950085992001e+02
-3.158072509765625000e+02 -3.158273549415167736e+02
-3.156911621093750000e+02 -3.157065885878165545e+02
-3.129202575683593750e+02 -3.129406928366800003e+02
-3.147855224609375000e+02 -3.147714153386046405e+02
-3.131679077148437500e+02 -3.132459957190312707e+02
-3.144966125488281250e+02 -3.144751185657932524e+02
-3.138451232910156250e+02 -3.138612437327260523e+02
-3.134144287109375000e+02 -3.134215646449314931e+02
-3.133056640625000000e+02 -3.133075973559658109e+02
-3.141425170898437500e+02 -3.141495343214572813e+02
-3.154632263183593750e+02 -3.154756526113974360e+02
-3.143302917480468750e+02 -3.143037931588185074e+02
-3.130362854003906250e+02 -3.130591837771468136e+02
-3.156659240722656250e+02 -3.156426176909168362e+02
-3.146947631835937500e+02 -3.147449617326010411e+02
-3.120612182617187500e+02 -3.120052274220095683e+02
-3.136404418945312500e+02 -3.136480692940273229e+02
-3.133794250488281250e+02 -3.133761172208677408e+02
-3.144085388183593750e+02 -3.144332817762220316e+02
-3.145849304199218750e+02 -3.145750172640968572e+02
-3.140216979980468750e+02 -3.140588672363563205e+02
-3.129187622070312500e+02 -3.129307463799358402e+02
-3.128070983886718750e+02 -3.128518927572506527e+02
-3.149039611816406250e+02 -3.149167022058114185e+02
-3.146830749511718750e+02 -3.146781350576804357e+02
-3.152936096191406250e+02 -3.152985523002325863e+02
-3.154235839843750000e+02 -3.153824120038038359e+02
-3.135081176757812500e+02 -3.135010878233810558e+02
-3.133636779785156250e+02 -3.133249769007015857e+02
-3.141976928710937500e+02 -3.141991243917069596e+02
-3.152074584960937500e+02 -3.152320967744705058e+02
-3.124737854003906250e+02 -3.124613875458884422e+02
-3.130260314941406250e+02 -3.130314504677317586e+02
-3.121600341796875000e+02 -3.120849525632944506e+02
-3.139670715332031250e+02 -3.139564084825905184e+02
-3.140837097167968750e+02 -3.140715660485927287e+02
-3.133992614746093750e+02 -3.133920396799290415e+02
-3.153594360351562500e+02 -3.153935248477452546e+02
-3.124028625488281250e+02 -3.124161009829503541e+02
-3.131925964355468750e+02 -3.131923202554737600e+02
-3.135297241210937500e+02 -3.135008045196816511e+02
-3.135363464355468750e+02 -3.135631406357019841e+02
-3.122349853515625000e+02 -3.122294332030180612e+02
-3.134788208007812500e+02 -3.135511650746042278e+02
-3.152117309570312500e+02 -3.152283044078092189e+02
-3.139927673339843750e+02 -3.139726981615382329e+02
-3.131542663574218750e+02 -3.131817211948103363e+02
-3.132304687500000000e+02 -3.132326223825330658e+02
-3.138438110351562500e+02 -3.137972198911600117e+02
-3.147234802246093750e+02 -3.147263346546280331e+02
-3.121347351074218750e+02 -3.120527955416902159e+02
-3.140968017578125000e+02 -3.141217395190051320e+02
-3.144758911132812500e+02 -3.144977033586736184e+02
-3.143184509277343750e+02 -3.142884025704880742e+02
-3.126525573730468750e+02 -3.126438869653109691e+02
-3.147402954101562500e+02 -3.147527431028783553e+02
-3.128997497558593750e+02 -3.128886106258225936e+02
-3.135663452148437500e+02 -3.135681540732381336e+02
-3.145861206054687500e+02 -3.145801072431219723e+02
-3.132095336914062500e+02 -3.132486718669732682e+02
-3.138945312500000000e+02 -3.138916393086763037e+02
-3.149931640625000000e+02 -3.150133446404579445e+02
-3.130376892089843750e+02 -3.130965637710935425e+02
-3.122909240722656250e+02 -3.122839733004630034e+02
-3.135506286621093750e+02 -3.135760894192144406e+02
-3.148567504882812500e+02 -3.148595272099320255e+02
-3.132572021484375000e+02 -3.132798282928354183e+02
-3.124848327636718750e+02 -3.125218934177557344e+02
-3.125740966796875000e+02 -3.125549346964585880e+02
-3.120578613281250000e+02 -3.120631378300884649e+02
-3.129937744140625000e+02 -3.130023971836959618e+02
-3.125163574218750000e+02 -3.125564808282581453e+02
-3.146497802734375000e+02 -3.146608159559066280e+02
-3.138233337402343750e+02 -3.138248596565313164e+02
-3.143435974121093750e+02 -3.143850026472857735e+02
-3.156936340332031250e+02 -3.157057825422855331e+02
-3.148086853027343750e+02 -3.148509338600011915e+02
-3.144127502441406250e+02 -3.144320408321299283e+02
-3.141663513183593750e+02 -3.142156975243233319e+02
-3.139736633300781250e+02 -3.140169302481334626e+02
-3.133340148925781250e+02 -3.133061278093971396e+02
-3.130071105957031250e+02 -3.130076198843790962e+02
-3.147898559570312500e+02 -3.147569384200281206e+02
-3.147343750000000000e+02 -3.147300903577173585e+02
-3.145972900390625000e+02 -3.146180058289828594e+02
-3.138150329589843750e+02 -3.138542789523611418e+02
-3.144566345214843750e+02 -3.144315528608925661e+02
-3.129426574707031250e+02 -3.129254961245719642e+02
-3.135547180175781250e+02 -3.135671549643133176e+02
-3.151299438476562500e+02 -3.151527876183889703e+02
-3.127772521972656250e+02 -3.127392103020989680e+02
-3.149393005371093750e+02 -3.149549298109712367e+02
-3.140054626464843750e+02 -3.139792820137467402e+02
-3.131046142578125000e+02 -3.131245080063943078e+02
-3.137568969726562500e+02 -3.137626947655703589e+02
-3.142305908203125000e+02 -3.142136027563237803e+02
-3.151057434082031250e+02 -3.151287683531645598e+02
-3.153333129882812500e+02 -3.153532940336146453e+02
-3.122299804687500000e+02 -3.122141360111281756e+02
-3.145087890625000000e+02 -3.145086037139092241e+02
-3.155243225097656250e+02 -3.155609159509318715e+02
-3.138812866210937500e+02 -3.139028421446481047e+02
-3.154979858398437500e+02 -3.154943843139294017e+02
-3.127448120117187500e+02 -3.127220740747125092e+02
-3.120530090332031250e+02 -3.120586042309379309e+02
-3.125579833984375000e+02 -3.125884474803754074e+02
