3.932 3.932 3 -39.82319749 -39.824138 -.00094051
3.934 3.932 3 -39.82269829 -39.823224 -.00052571
3.934 3.934 3 -39.82219048 -39.823317 -.00112652
3.936 3.932 3 -39.82217366 -39.822245 -.00007134
3.936 3.934 3 -39.82166475 -39.82235 -.00068525
3.936 3.936 3 -39.82113095 -39.8224 -.00126905
3.938 3.932 3 -39.82162877 -39.821221 .00040777
3.938 3.934 3 -39.82111254 -39.8213 -.00018746
3.938 3.936 3 -39.82057393 -39.821381 -.00080707
3.938 3.938 3 -39.82001958 -39.82144 -.00142042
3.940 3.932 3 -39.82106119 -39.820114 .00094719
3.940 3.934 3 -39.82054398 -39.820195 .00034898
3.940 3.936 3 -39.82000188 -39.820302 -.00030012
3.940 3.938 3 -39.81943934 -39.820368 -.00092866
3.940 3.940 3 -39.81885238 -39.820431 -.00157862
3.942 3.932 3 -39.82047615 -39.818925 .00155115
3.942 3.934 3 -39.81995611 -39.81904 .00091611
3.942 3.936 3 -39.81941308 -39.819141 .00027208
3.942 3.938 3 -39.81884473 -39.819246 -.00040127
3.942 3.940 3 -39.81825066 -39.819309 -.00105834
3.942 3.942 3 -39.81763478 -39.819366 -.00173122
3.944 3.932 3 -39.81988361 -39.817669 .00221461
3.944 3.934 3 -39.81935586 -39.817814 .00154186
3.944 3.936 3 -39.81880208 -39.817952 .00085008
3.944 3.938 3 -39.81822190 -39.818049 .00017290
3.944 3.940 3 -39.81762719 -39.818121 -.00049381
3.944 3.942 3 -39.81701827 -39.818201 -.00118273
3.944 3.944 3 -39.81639260 -39.818251 -.00185840
3.946 3.932 3 -39.81926771 -39.816364 .00290371
3.946 3.934 3 -39.81873796 -39.816536 .00220196
3.946 3.936 3 -39.81817333 -39.816661 .00151233
3.946 3.938 3 -39.81759123 -39.816779 .00081223
3.946 3.940 3 -39.81699330 -39.816878 .00011530
3.946 3.942 3 -39.81638681 -39.816956 -.00056919
3.946 3.944 3 -39.81575812 -39.817038 -.00127988
3.946 3.946 3 -39.81512553 -39.817077 -.00195147
3.948 3.932 3 -39.81863493 -39.815006 .00362893
3.948 3.934 3 -39.81808901 -39.81516 .00292901
3.948 3.936 3 -39.81751873 -39.815327 .00219173
3.948 3.938 3 -39.81694420 -39.815434 .00151020
